,file,context
0,0164_0165,"ns wällbetrodde Håpman och Major, Ehre boren och Manhafftigh Samuel Långh, Så och Häradzhöfdingen i Cajana frijherra skap. Wäll:tt Nicolaus Petrellius, Sittiandes ja Bångmestare ställe, sampt Rådh mennen Cl"
1,0206_0207,"cka – 81 dahl.r K. m.t till Olipera Partainen för gälder och, Lerfft dhe till hoopa handlat hafwa i Cajana borgh, och ännu skall Restera – 4 D.r 4 öre K.m.t i Erich Puhacka swarade sigh richtigt hafwa betal"
