,file,context
0,0121_0122,", Kongl: Råd och H:r Drotzet sampt General Justitiae Directeur öf:r Swerige och Stoor- furstendomet Finland. Wälborne, Högbördige, Högachtade och widtlagfarne herrar, H:r vice prases och Samptelige Assessore"
1,0334_0335,"hen och så uth- öfwer Wallen och uppå fiskkåhlen, öfwer Ström- men ligger till fasta landet och åth Finlandh, skilliandes den Eena Lars Käsoinen benämdh från PelisJerfwi Sochn sigh ifrån dhem widh Kirfwus Ky"
