,file,context
0,0098_0099, straff till löhn hafwa att wenta och medfåå. Ändoch Ändoch Cronans härwarande Skuthebyggiare ifrån Biörköö Erich Willanen i gåår begärthe Stemningh på Bårgaren Hinrich Kåistin I meningh att willia ho- nom 
1,0137_0138,"at, till- spöriandes alt dhe förre Byggmästaren (effter han nu här ifrån reesefär- digh hemåth till Biörköhn wara skall) samptelige tillstädhes warandhe Borgerskap, om dhe af detta rychtet hördt eller Ellie"
