,parent,file,context
0,RO_1697,0011_0012,"agder, hwarföre och som han förmeente att Jöran läger haf- wa kiort owuligt med hästen, och således Kite denne olyckan sielf förorsakat; Altså bad Materiaa skrif:e att dess Syster i detta måhl kunde befri"
1,RO_1697,0259_0260,"ller; hwilket Rätten in qvantum Juris låt förtekna. Då kiärde Oloff Oikonen ifrån Sie¬ kalax by och Kite Sochn i Carelen till een löös kåna ifrån Räpöwä by Agneta Grelssdotter, att hon uti Sahl. Handelssm"
