,file,context
0,0520_0522,"tahla till Brandtz Inspectoren så stoor fröhn som han Pigan tillsagt, Nembl.n 12 D:r Koppm:t 20 D.r lerfft å 8 öre alnen 10 så:r blaggarn å 6 öre alner, 3 Par Skoor å 2 D:r Paret och 2 Par strumpor 30 öre K"
1,0529_0531,"dman Jacob Grelssons hustro, hade vi Citerat denne Munsterskrifwarens kijsla, och funnit dher något Lerfft, som hon sigh Allägnare haf:r Isakz huß Märta begynt denne att skulle för Lars Rotises Sons ho¬ hwa"
