,file,context
0,0017_0017,"cie RD:r hafft, då han från sin tienst i wåras ifrån Sawolax kom, hwar af han een hoos Jöran Klimpo wäxlat, så framlägger och Thomas sit ährlige affskedhz breff 14 bref eller pass af Pastore et Præposito u"
1,0047_0047,"cob Thomson medh Anders Taskin hafft angåendhe någre oqwädinsordh i drukensmodh dhe hwar andre till wäxlat, ophäfwes, Effter bägge sökia om förteckningh, dåch der någondera brytha skolle, skall och denne t"
2,0083_0084," slikt bedrägeri, men  som han swär sigh dhen Eij kändt, och Ryttkens hustru säger hännes Man  dhen wäxlat då han hädan reeste. Dhe 8 D:r och Ett Hästtäcke som Hans Kiskin fordrar af dhen bortrymbde  Berti"
