,file,context
0,0022_0022," Blanckenhagen ifrån Nyien, sampt hwilken 19 /: hwilken medh Compagnie Consens toback sällier :/ en Rulla Toback kiöpt, der emot sadhe Poutian igen wist och fast kiöpt af honom Juhledagen Toback, och Rulla"
1,0022_0022,"Rulla Toback kiöpt, der emot sadhe Poutian igen wist och fast kiöpt af honom Juhledagen Toback, och Rullan der aff han sålde war liten, och intet mehr än ungefähr 5 häller 6 allnar, så sadhe och Eskell att"
2,0033_0033," 2:ne öre Koppar försällia, Hwar oppå Besökiarena strax till denne Afwin gådt och söckt, då dhe een Rulla igen å Nyio af 3 llb ungefähr funnit, hwilken dhe uthi Rätten inladhe, Och som han för 3 åhr sedan "
